date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,104.89,107.2,104.2,106.59,2674400
2015-01-02 00:00:00+05:30,107.01,107.9,106.33,106.92,3664240
2015-01-05 00:00:00+05:30,106.92,108.7,105.8,106.66,3392870
2015-01-06 00:00:00+05:30,105.41,105.9,102.06,102.77,5549800
2015-01-07 00:00:00+05:30,101.6,102.58,99.73,101.19,5286870
2015-01-08 00:00:00+05:30,102.5,103.49,99.86,102.21,4780810
2015-01-09 00:00:00+05:30,102.7,103.5,100.41,101.3,5046040
2015-01-12 00:00:00+05:30,101.01,101.2,99.77,100.07,2409440
2015-01-13 00:00:00+05:30,100.6,101.4,98.92,99.35,5067780
2015-01-14 00:00:00+05:30,99.5,99.8,96.31,96.83,5881870
2015-01-15 00:00:00+05:30,97.8,98.8,95.67,97.1,6814340
2015-01-16 00:00:00+05:30,97.37,99.26,96.1,98.05,4952730
2015-01-19 00:00:00+05:30,98.6,99.21,97.23,97.67,3389350
2015-01-20 00:00:00+05:30,97.96,100.83,97.88,100.51,6121230
2015-01-21 00:00:00+05:30,101.01,101.3,98.2,100,5028900
2015-01-22 00:00:00+05:30,100.1,100.96,98.62,99.33,3852690
2015-01-23 00:00:00+05:30,101,102.1,99.5,101.53,5485050
2015-01-27 00:00:00+05:30,101.61,102.42,100.16,101.65,4699280
2015-01-28 00:00:00+05:30,101.5,101.7,99,99.51,4527080
2015-01-29 00:00:00+05:30,99.38,100.28,97.84,99.72,7116890
2015-01-30 00:00:00+05:30,99.6,100.55,95.77,97.75,8125080
2015-02-02 00:00:00+05:30,97.83,100.96,97.71,99.7,4969410
2015-02-03 00:00:00+05:30,99.7,100.6,97.8,98.55,5147100
2015-02-04 00:00:00+05:30,98.8,100.76,98.7,99.5,4891080
2015-02-05 00:00:00+05:30,99.6,100,97.13,97.65,5187440
2015-02-06 00:00:00+05:30,97.88,98.47,95.4,96.09,4718950
2015-02-09 00:00:00+05:30,95,95.4,92.2,93.61,7214190
2015-02-10 00:00:00+05:30,93.3,96.39,92.71,93.86,4334980
2015-02-11 00:00:00+05:30,93.69,98.98,93.69,97.79,4968810
2015-02-12 00:00:00+05:30,98.11,98.69,96.15,97.19,4874410
2015-02-13 00:00:00+05:30,97.98,99.94,97.2,98.6,6535110
2015-02-16 00:00:00+05:30,99.2,100.31,98.52,99.12,4547420
2015-02-18 00:00:00+05:30,99.38,100.04,97,97.32,4624720
2015-02-19 00:00:00+05:30,97.88,105.2,97.52,103.76,10900420
2015-02-20 00:00:00+05:30,105.01,105.81,102.04,102.43,6068460
2015-02-23 00:00:00+05:30,102.8,103.28,99.13,99.72,6027130
2015-02-24 00:00:00+05:30,100,103.28,98.15,101.98,6011050
2015-02-25 00:00:00+05:30,103.47,103.49,99.47,100.02,3899270
2015-02-26 00:00:00+05:30,100.8,101.45,98.5,99.23,6711410
2015-02-27 00:00:00+05:30,100.3,101.92,99.5,100.97,7951640
2015-03-02 00:00:00+05:30,101.7,102.2,99.12,100.69,5523170
2015-03-03 00:00:00+05:30,100.3,102.3,99.48,100.17,7891180
2015-03-04 00:00:00+05:30,102,102.17,98.51,99.2,9128560
2015-03-05 00:00:00+05:30,101.1,101.77,98.32,99.16,6330360
2015-03-09 00:00:00+05:30,99.58,99.58,95.61,95.97,4438780
