date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,783.25,789,774.2,775.5,542911
2015-01-02 00:00:00+05:30,777.3,779.05,765.1,767.85,664807
2015-01-05 00:00:00+05:30,773.5,774.5,748.05,751.4,635339
2015-01-06 00:00:00+05:30,751,751,714.1,721.75,801647
2015-01-07 00:00:00+05:30,725,731,702.6,719.65,537788
2015-01-08 00:00:00+05:30,725.35,742.9,725.35,740.8,655401
2015-01-09 00:00:00+05:30,741.2,752.4,725.3,735.4,545646
2015-01-12 00:00:00+05:30,740,741.55,723.55,727.05,500417
2015-01-13 00:00:00+05:30,723.4,738.7,720.15,728.8,1507462
2015-01-14 00:00:00+05:30,726,729.05,716,718.9,486546
2015-01-15 00:00:00+05:30,717.05,725.25,714,714.9,488103
2015-01-16 00:00:00+05:30,714,727.4,714,722.2,345285
2015-01-19 00:00:00+05:30,726,740.5,726,738.05,395115
2015-01-20 00:00:00+05:30,739,743.65,731,733.15,315498
2015-01-21 00:00:00+05:30,733,739,729,737.35,398382
2015-01-22 00:00:00+05:30,737.5,753.9,736.35,744.4,893181
2015-01-23 00:00:00+05:30,752,754.9,720.2,724.25,872896
2015-01-27 00:00:00+05:30,731.4,736.45,724.25,734.9,773451
2015-01-28 00:00:00+05:30,735.95,739.8,724.1,728.3,297871
2015-01-29 00:00:00+05:30,729.8,732.7,715,719.05,512234
2015-01-30 00:00:00+05:30,724.9,731.85,715.8,719.15,614306
2015-02-02 00:00:00+05:30,723.8,725.5,715.3,716.35,261994
2015-02-03 00:00:00+05:30,720,721.1,704.1,706.4,269369
2015-02-04 00:00:00+05:30,709.9,734.9,707.2,730.05,606105
2015-02-05 00:00:00+05:30,736,752.95,734.1,742.1,1241458
2015-02-06 00:00:00+05:30,746,749.8,733.2,740.2,543071
2015-02-09 00:00:00+05:30,732,746.85,724.35,732.25,442283
2015-02-10 00:00:00+05:30,733.5,753.9,723.65,747.2,814095
2015-02-11 00:00:00+05:30,751,773,740.35,748.9,1450459
2015-02-12 00:00:00+05:30,755.1,758,730.05,747.15,904171
2015-02-13 00:00:00+05:30,740,777.95,733.65,766.4,2058589
2015-02-16 00:00:00+05:30,771.5,783,765.4,770.5,752676
2015-02-18 00:00:00+05:30,772,786.9,771,780.5,511194
2015-02-19 00:00:00+05:30,784,784,765,772.15,275905
2015-02-20 00:00:00+05:30,775,799,766.3,788.45,761147
2015-02-23 00:00:00+05:30,790.5,795.95,778.2,792.7,735523
2015-02-24 00:00:00+05:30,796.7,810.95,790.2,808.2,1014708
2015-02-25 00:00:00+05:30,817.35,822.85,784.25,790.2,897360
2015-02-26 00:00:00+05:30,803,803.45,767,770.25,1143637
2015-02-27 00:00:00+05:30,773.4,789.6,773.1,779.45,483393
2015-03-02 00:00:00+05:30,792.8,798.6,783,786.85,361810
2015-03-03 00:00:00+05:30,786.85,806.15,782.3,799.35,482077
2015-03-04 00:00:00+05:30,805.15,814,794,799.05,805908
2015-03-05 00:00:00+05:30,806.5,842.45,804.15,833,1104275
2015-03-09 00:00:00+05:30,836,859.7,836,842.35,930330
2015-03-10 00:00:00+05:30,847.95,864.65,839,848.35,696665
2015-03-11 00:00:00+05:30,851.5,862.75,826.4,831.1,815411
2015-03-12 00:00:00+05:30,836,850,825,836.3,801007
2015-03-13 00:00:00+05:30,842,865,833.95,840.3,2181523
2015-03-16 00:00:00+05:30,840.3,841.8,809.4,814.4,829495
2015-03-17 00:00:00+05:30,815.7,831,806.15,808.45,619415
2015-03-18 00:00:00+05:30,815,825.95,808.2,823.5,481177
2015-03-19 00:00:00+05:30,830,860.5,823.25,851.5,1218763
2015-03-20 00:00:00+05:30,860.55,879.65,825.55,831.35,1390630
2015-03-23 00:00:00+05:30,812.5,825,790,793.4,1249568
2015-03-24 00:00:00+05:30,793.9,816.75,790.3,809.5,673502
2015-03-25 00:00:00+05:30,816.4,821.3,801.5,804.65,726346
2015-03-26 00:00:00+05:30,809.8,809.8,787.1,792.4,1212551
2015-03-27 00:00:00+05:30,799.5,799.5,751,771.75,1552301
2015-03-30 00:00:00+05:30,783,789,770,784,667167
2015-03-31 00:00:00+05:30,785,798.8,780,786.15,572303
2015-04-01 00:00:00+05:30,789.95,791.9,782.05,788.3,718711
2015-04-06 00:00:00+05:30,792.7,863.1,790.3,846.5,1544700
2015-04-07 00:00:00+05:30,852.9,861.9,834.05,844.2,999962
2015-04-08 00:00:00+05:30,879.3,901.35,866.75,881.75,3076453
2015-04-09 00:00:00+05:30,887.95,887.95,857.6,864.8,745268
2015-04-10 00:00:00+05:30,866,881.45,852,871.35,876273
2015-04-13 00:00:00+05:30,872.9,921,862.1,917.7,2000624
2015-04-15 00:00:00+05:30,927,940.75,900.15,907,1418064
2015-04-16 00:00:00+05:30,911.3,919.9,861,877.75,1994681
2015-04-17 00:00:00+05:30,879,881.3,852,865.15,1468381
2015-04-20 00:00:00+05:30,905,921,881.35,901.2,2994923
2015-04-21 00:00:00+05:30,904.4,905,872.35,886.65,1149278
2015-04-22 00:00:00+05:30,891,921.55,874.05,898.05,1799052
2015-04-23 00:00:00+05:30,906,911,888.55,892.65,815845
2015-04-24 00:00:00+05:30,893,909.7,885,896.4,1259860
2015-04-27 00:00:00+05:30,900.1,905.9,862,868.95,854103
2015-04-28 00:00:00+05:30,866,873.6,816,861,1536548
2015-04-29 00:00:00+05:30,843.35,864,842.4,860.25,546051
2015-04-30 00:00:00+05:30,858.5,894,842.5,890.3,1091326
2015-05-04 00:00:00+05:30,905,929.5,888.55,906.6,1397412
2015-05-05 00:00:00+05:30,908.95,916.85,890.15,897.5,886831
2015-05-06 00:00:00+05:30,891.95,895,842.7,847.9,1280955
2015-05-07 00:00:00+05:30,852.9,852.9,807,825.9,1350783
2015-05-08 00:00:00+05:30,830.8,854,830.8,835.8,976949
2015-05-11 00:00:00+05:30,848,873.4,842.4,868.5,635186
